,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
0,Kylian Mbappé,Centre-Forward,19,120000000,Monaco,Ligue 1,AS Monaco,France,Ligue 1,Paris Saint-Germain,180000000,2018
1,Cristiano Ronaldo,Centre-Forward,33,100000000,Spain,LaLiga,Real Madrid,Italy,Serie A,Juventus FC,117000000,2018
2,Kepa Arrizabalaga,Goalkeeper,23,20000000,Spain,LaLiga,Athletic Bilbao,England,Premier League,Chelsea FC,80000000,2018
3,Thomas Lemar,Attacking Midfield,22,65000000,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Atlético de Madrid,72000000,2018
4,Riyad Mahrez,Right Winger,27,50000000,England,Premier League,Leicester City,England,Premier League,Manchester City,67000000,2018
5,Naby Keïta,Central Midfield,23,65000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Liverpool FC,60000000,2018
6,Thibaut Courtois,Goalkeeper,26,65000000,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,35000000,2018
7,Christian Pulisic,Right Winger,20,50000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Chelsea FC,64000000,2018
8,Alisson,Goalkeeper,25,60000000,Italy,Serie A,AS Roma,England,Premier League,Liverpool FC,62000000,2018
9,Fred,Central Midfield,25,32000000,Ukraine,Premier Liga,Shakhtar Donetsk,England,Premier League,Manchester United,59000000,2018
10,Jorginho,Defensive Midfield,26,50000000,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,57000000,2018
11,Douglas Costa,Right Winger,27,55000000,Germany,Bundesliga,Bayern Munich,Italy,Serie A,Juventus FC,40000000,2018
12,Gonzalo Higuaín,Centre-Forward,30,55000000,Italy,Serie A,Juventus FC,Italy,Serie A,AC Milan,10000000,2018
13,Álvaro Morata,Centre-Forward,26,50000000,England,Premier League,Chelsea FC,Spain,LaLiga,Atlético de Madrid,18000000,2018
14,Gonzalo Higuaín,Centre-Forward,31,50000000,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,7000000,2018
15,Christian Pulisic,Right Winger,20,50000000,England,Premier League,Chelsea FC,Germany,Bundesliga,Borussia Dortmund,loan transfer,2018
16,Vinicius Junior,Left Winger,18,35000000,Brazil,Série A,CR Flamengo,Spain,LaLiga,Real Madrid,45000000,2018
17,Fabinho,Defensive Midfield,24,45000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Liverpool FC,45000000,2018
18,Malcom,Right Winger,21,45000000,France,Ligue 1,FC Girondins Bordeaux,Spain,LaLiga,FC Barcelona,41000000,2018
19,Radja Nainggolan,Central Midfield,30,45000000,Italy,Serie A,AS Roma,Italy,Serie A,Inter Milan,38000000,2018
20,Patrik Schick,Centre-Forward,22,20000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,AS Roma,42000000,2018
21,Paulinho,Central Midfield,30,38000000,Spain,LaLiga,FC Barcelona,China,Super League,Guangzhou Evergrande Taobao,42000000,2018
22,João Cancelo,Right-Back,24,35000000,Spain,LaLiga,Valencia CF,Italy,Serie A,Juventus FC,40000000,2018
23,Gonçalo Guedes,Second Striker,21,40000000,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Valencia CF,40000000,2018
24,Leandro Paredes,Defensive Midfield,24,25000000,Russia,Premier Liga,Zenit St. Petersburg,France,Ligue 1,Paris Saint-Germain,40000000,2018
25,Paulinho,Central Midfield,29,40000000,Spain,LaLiga,FC Barcelona,China,Super League,Guangzhou Evergrande Taobao,5000000,2018
26,Tiemoué Bakayoko,Defensive Midfield,23,40000000,England,Premier League,Chelsea FC,Italy,Serie A,AC Milan,5000000,2018
27,Michy Batshuayi,Centre-Forward,24,40000000,England,Premier League,Chelsea FC,Spain,LaLiga,Valencia CF,3000000,2018
28,Leon Goretzka,Central Midfield,23,40000000,Germany,Bundesliga,FC Schalke 04,Germany,Bundesliga,Bayern Munich,free transfer,2018
29,Stefan de Vrij,Centre-Back,26,40000000,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,free transfer,2018
30,Richarlison,Centre-Forward,21,25000000,England,Premier League,Watford FC,England,Premier League,Everton FC,39000000,2018
31,Lucas Paquetá,Attacking Midfield,21,15000000,Brazil,Série A,CR Flamengo,Italy,Serie A,AC Milan,38000000,2018
32,Felipe Anderson,Right Winger,25,30000000,Italy,Serie A,SS Lazio,England,Premier League,West Ham United,38000000,2018
33,Thilo Kehrer,Centre-Back,21,18000000,Germany,Bundesliga,FC Schalke 04,France,Ligue 1,Paris Saint-Germain,37000000,2018
34,Clément Lenglet,Centre-Back,23,36000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,35000000,2018
35,Leonardo Bonucci,Centre-Back,31,35000000,Italy,Serie A,AC Milan,Italy,Serie A,Juventus FC,35000000,2018
36,Krzysztof Piatek,Centre-Forward,23,15000000,Italy,Serie A,Genoa CFC,Italy,Serie A,AC Milan,35000000,2018
37,Shoya Nakajima,Attacking Midfield,24,18000000,Portugal,Liga NOS,Portimonense SC,Qatar,Stars League,Al-Duhail SC,35000000,2018
38,Gelson Martins,Right Winger,23,35000000,Portugal,Liga NOS,Sporting CP,Spain,LaLiga,Atlético de Madrid,22000000,2018
