,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
0,Jack Grealish,Left Winger,25,65000000,England,Premier League,Aston Villa,England,Premier League,Manchester City,117000000,2021
1,Romelu Lukaku,Centre-Forward,28,100000000,Italy,Serie A,Inter Milan,England,Premier League,Chelsea FC,113000000,2021
2,Jadon Sancho,Left Winger,21,100000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester United,85000000,2021
3,Dusan Vlahovic,Centre-Forward,22,70000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,81000000,2021
4,Lionel Messi,Right Winger,34,80000000,Spain,LaLiga,FC Barcelona,France,Ligue 1,Paris Saint-Germain,free transfer,2021
5,Raphaël Varane,Centre-Back,28,70000000,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,40000000,2021
6,Achraf Hakimi,Right-Back,22,60000000,Italy,Serie A,Inter Milan,France,Ligue 1,Paris Saint-Germain,68000000,2021
7,Dayot Upamecano,Centre-Back,22,60000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Bayern Munich,42000000,2021
8,Antoine Griezmann,Second Striker,30,60000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Atlético de Madrid,10000000,2021
9,Gianluigi Donnarumma,Goalkeeper,22,60000000,Italy,Serie A,AC Milan,France,Ligue 1,Paris Saint-Germain,free transfer,2021
10,Ben White,Right-Back,23,28000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Arsenal FC,58000000,2021
11,Ferran Torres,Left Winger,21,45000000,England,Premier League,Manchester City,Spain,LaLiga,FC Barcelona,55000000,2021
12,Eduardo Camavinga,Central Midfield,18,55000000,France,Ligue 1,Stade Rennais FC,Spain,LaLiga,Real Madrid,31000000,2021
13,David Alaba,Centre-Back,29,55000000,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Real Madrid,free transfer,2021
14,André Silva,Centre-Forward,25,45000000,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,RB Leipzig,23000000,2021
15,Cristiano Ronaldo,Centre-Forward,36,45000000,Italy,Serie A,Juventus FC,England,Premier League,Manchester United,17000000,2021
16,Memphis Depay,Centre-Forward,27,45000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,FC Barcelona,free transfer,2021
17,Bruno Guimarães,Defensive Midfield,24,30000000,France,Ligue 1,Olympique Lyon,England,Premier League,Newcastle United,42000000,2021
18,Marcel Sabitzer,Central Midfield,27,42000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Bayern Munich,15000000,2021
19,Luis Díaz,Left Winger,25,40000000,Portugal,Liga Bwin,FC Porto,England,Premier League,Liverpool FC,47000000,2021
20,Ibrahima Konaté,Centre-Back,22,35000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Liverpool FC,40000000,2021
21,Tammy Abraham,Centre-Forward,23,38000000,England,Premier League,Chelsea FC,Italy,Serie A,AS Roma,40000000,2021
22,Martin Ødegaard,Attacking Midfield,22,40000000,Spain,LaLiga,Real Madrid,England,Premier League,Arsenal FC,35000000,2021
23,Nuno Mendes,Left-Back,19,40000000,Portugal,Liga Bwin,Sporting CP,France,Ligue 1,Paris Saint-Germain,7000000,2021
24,Saúl Ñíguez,Central Midfield,26,40000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Chelsea FC,5000000,2021
25,Emiliano Buendía,Right Winger,24,35000000,England,Premier League,Norwich City,England,Premier League,Aston Villa,38000000,2021
26,Rodrigo de Paul,Central Midfield,27,38000000,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,35000000,2021
27,Tanguy Ndombélé,Central Midfield,25,38000000,England,Premier League,Tottenham Hotspur,France,Ligue 1,Olympique Lyon,1000000,2021
28,Kurt Zouma,Centre-Back,26,32000000,England,Premier League,Chelsea FC,England,Premier League,West Ham United,35000000,2021
29,Leon Bailey,Left Winger,23,35000000,Germany,Bundesliga,Bayer 04 Leverkusen,England,Premier League,Aston Villa,32000000,2021
30,Angeliño,Left-Back,24,35000000,England,Premier League,Manchester City,Germany,Bundesliga,RB Leipzig,18000000,2021
31,Cristian Romero,Centre-Back,23,35000000,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,17000000,2021
32,Moise Kean,Centre-Forward,21,35000000,England,Premier League,Everton FC,Italy,Serie A,Juventus FC,7000000,2021
33,Hakan Calhanoglu,Central Midfield,27,35000000,Italy,Serie A,AC Milan,Italy,Serie A,Inter Milan,free transfer,2021
34,Cristian Romero,Centre-Back,23,35000000,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,loan transfer,2021
