,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
0,Erling Haaland,Centre-Forward,21,150000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60000000,2022
1,Enzo Fernández,Central Midfield,22,55000000,Portugal,Liga Portugal,SL Benfica,England,Premier League,Chelsea FC,121000000,2022
2,Antony,Right Winger,22,35000000,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,95000000,2022
3,Wesley Fofana,Centre-Back,21,40000000,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80000000,2022
4,Aurélien Tchouaméni,Defensive Midfield,22,60000000,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Real Madrid,80000000,2022
5,Casemiro,Defensive Midfield,30,40000000,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70000000,2022
6,Alexander Isak,Centre-Forward,22,30000000,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70000000,2022
7,Mykhaylo Mudryk,Left Winger,22,40000000,Ukraine,Premier Liga,Shakhtar Donetsk,England,Premier League,Chelsea FC,70000000,2022
8,Matthijs de Ligt,Centre-Back,22,70000000,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67000000,2022
9,Raheem Sterling,Left Winger,27,70000000,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56000000,2022
10,Sadio Mané,Left Winger,30,70000000,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32000000,2022
11,Romelu Lukaku,Centre-Forward,29,70000000,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,7000000,2022
12,João Cancelo,Right-Back,28,70000000,England,Premier League,Manchester City,Germany,Bundesliga,Bayern Munich,loan transfer,2022
13,Marc Cucurella,Left-Back,24,28000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65000000,2022
14,Federico Chiesa,Left Winger,24,65000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,42000000,2022
15,Jules Koundé,Centre-Back,23,60000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50000000,2022
16,Cody Gakpo,Left Winger,23,60000000,Netherlands,Eredivisie,PSV Eindhoven,England,Premier League,Liverpool FC,42000000,2022
17,Richarlison,Centre-Forward,25,48000000,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58000000,2022
18,Raphinha,Right Winger,25,45000000,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58000000,2022
19,Lisandro Martínez,Centre-Back,24,32000000,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,57000000,2022
20,Darwin Núñez,Centre-Forward,23,55000000,Portugal,Liga Portugal,SL Benfica,England,Premier League,Liverpool FC,80000000,2022
21,Fabián Ruiz,Central Midfield,26,55000000,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23000000,2022
22,Gabriel Jesus,Centre-Forward,25,50000000,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52000000,2022
23,Cristian Romero,Centre-Back,24,48000000,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50000000,2022
24,Kalvin Phillips,Defensive Midfield,26,50000000,England,Premier League,Leeds United,England,Premier League,Manchester City,49000000,2022
25,Carlos Soler,Central Midfield,25,50000000,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18000000,2022
26,João Félix,Second Striker,23,50000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Chelsea FC,11000000,2022
27,Paul Pogba,Central Midfield,29,48000000,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,free transfer,2022
28,Anthony Gordon,Left Winger,21,40000000,England,Premier League,Everton FC,England,Premier League,Newcastle United,45000000,2022
29,Robert Lewandowski,Centre-Forward,33,45000000,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45000000,2022
30,Matheus Nunes,Central Midfield,23,35000000,Portugal,Liga Portugal,Sporting CP,England,Premier League,Wolverhampton Wanderers,45000000,2022
31,Franck Kessié,Central Midfield,25,45000000,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,free transfer,2022
32,Enzo Fernández,Central Midfield,21,15000000,Argentina,Liga Profesional,CA River Plate,Portugal,Liga Portugal,SL Benfica,44000000,2022
33,Lucas Paquetá,Attacking Midfield,25,35000000,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42000000,2022
34,Amine Gouiri,Centre-Forward,22,42000000,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28000000,2022
35,Vitinha,Central Midfield,22,30000000,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41000000,2022
36,Bremer,Centre-Back,25,35000000,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41000000,2022
37,Nuno Mendes,Left-Back,20,40000000,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38000000,2022
38,Benoît Badiashile,Centre-Back,21,40000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Chelsea FC,38000000,2022
39,Gonçalo Guedes,Second Striker,25,40000000,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32000000,2022
